iter	Logloss
0	0.6530706411
1	0.6211409105
2	0.5879050532
3	0.5588862444
4	0.5373308654
5	0.5238320594
6	0.5066996433
7	0.4903167658
8	0.4753492432
9	0.4631176145
10	0.4516351173
11	0.4427847007
12	0.4332057102
13	0.424756176
14	0.419602144
15	0.4111873582
16	0.4050344852
17	0.3989859847
18	0.3944231857
19	0.3892559929
20	0.3847088422
21	0.3802386354
22	0.3749843459
23	0.3716215764
24	0.3681616392
25	0.3645476197
26	0.3609078794
27	0.3585291675
28	0.3552012255
29	0.3526186495
30	0.3505805029
31	0.3483413682
32	0.3460529028
33	0.3434349271
34	0.3404344674
35	0.3381345245
36	0.3361229036
37	0.3341346423
38	0.3319314493
39	0.3297856074
40	0.3282713233
41	0.3268791782
42	0.3254966871
43	0.3243122108
44	0.322683949
45	0.3204515638
46	0.3187665787
47	0.3172176037
48	0.3158987989
49	0.3143393114
50	0.3125807348
51	0.3115443933
52	0.3101598372
53	0.3089093447
54	0.3077834723
55	0.3063916026
56	0.3047497498
57	0.3034673104
58	0.3022352576
59	0.3008601416
60	0.2987182735
61	0.2974334175
62	0.2966316773
63	0.2948866918
64	0.2935177341
65	0.2925706476
66	0.2917454974
67	0.2901634861
68	0.2893716977
69	0.2884266646
70	0.2869872902
71	0.2856823362
72	0.2848648327
73	0.2841496267
74	0.2826028319
75	0.2805591801
76	0.2794514599
77	0.278373686
78	0.2775875823
79	0.2765793825
80	0.2753559349
81	0.2747247108
82	0.273775362
83	0.2733828928
84	0.2725532387
85	0.2712350325
86	0.2705483264
87	0.2691304736
88	0.2681578511
89	0.26742476
90	0.2660519618
91	0.2651907827
92	0.2641976702
93	0.26340564
94	0.2625376533
95	0.2614419131
96	0.2608494848
97	0.2596969818
98	0.2590658687
99	0.2586664167
100	0.257924933
101	0.2569276762
102	0.2559544288
103	0.2551682072
104	0.2543998593
105	0.2531495924
106	0.252240066
107	0.2517352837
108	0.2510950842
109	0.249979297
110	0.2494034427
111	0.2487484114
112	0.2476520208
113	0.2465480097
114	0.2454871116
115	0.2447681098
116	0.2438354123
117	0.243017302
118	0.2423679031
119	0.2413117553
120	0.2403323451
121	0.2397352261
122	0.2387191953
123	0.2382853921
124	0.2372987781
125	0.2365721057
126	0.2358861431
127	0.2348287717
128	0.233811829
129	0.233015436
130	0.2325268395
131	0.231984473
132	0.2310540973
133	0.2305601043
134	0.2295559507
135	0.228800441
136	0.2277732852
137	0.2272670889
138	0.2267679981
139	0.2258280952
140	0.2251986552
141	0.2245659916
142	0.2240951325
143	0.2233211665
144	0.2225423825
145	0.2215822738
146	0.2210487985
147	0.2200318484
148	0.2194217754
149	0.2188651779
150	0.218044374
151	0.2174758258
152	0.2167717003
153	0.2163694028
154	0.215805781
155	0.2152172873
156	0.2148519353
157	0.2143459809
158	0.2139689924
159	0.2134854389
160	0.2131084664
161	0.2123933856
162	0.2117912637
163	0.2112060482
164	0.2101238546
165	0.2095887427
166	0.2089198516
167	0.208170097
168	0.2076997309
169	0.2072883724
170	0.2066639481
171	0.2057066282
172	0.2050867468
173	0.2043471877
174	0.2034085376
175	0.2029454771
176	0.2024001617
177	0.2019326985
178	0.2012040566
179	0.2006181312
180	0.2000045935
181	0.1994540127
182	0.198626074
183	0.1979987835
184	0.1975389891
185	0.1966281769
186	0.1961759259
187	0.1951693755
188	0.1946003563
189	0.194269389
190	0.1937316203
191	0.1932586486
192	0.1928154806
193	0.1922798374
194	0.1913318301
195	0.1906776208
196	0.1900571501
197	0.189492406
198	0.1889218752
199	0.1880628828
200	0.1875707253
201	0.1866121332
202	0.1853270913
203	0.1848192512
204	0.1843209858
205	0.183790483
206	0.1831528105
207	0.1826516897
208	0.1818510755
209	0.1814136229
210	0.1810681011
211	0.1804222338
212	0.1799773913
213	0.1796547417
214	0.1792082542
215	0.178407294
216	0.1780411971
217	0.1776133847
218	0.1772237595
219	0.1761702304
220	0.1755572404
221	0.1751248792
222	0.1747677376
223	0.1741139107
224	0.1732769476
225	0.1728510414
226	0.1723133623
227	0.1718561584
228	0.1714116013
229	0.1710175765
230	0.170226857
231	0.1696620889
232	0.169197558
233	0.1688927626
234	0.1685000455
235	0.1681082077
236	0.1673535741
237	0.1667258534
238	0.1661948272
239	0.1658458356
240	0.1654236946
241	0.1650396656
242	0.1646954174
243	0.1639723574
244	0.1635597041
245	0.1629336187
246	0.1623819338
247	0.1620272332
248	0.1617206145
249	0.1612614812
