iter	Logloss
250	0.1608397004
251	0.1602497782
252	0.1597621978
253	0.1590077371
254	0.1585498924
255	0.1579103708
256	0.1575936222
257	0.1571163053
258	0.1565526277
259	0.1562559773
260	0.1558242635
261	0.1555328715
262	0.1550620281
263	0.1547551387
264	0.1542920283
265	0.1536584906
266	0.1530741283
267	0.1526947779
268	0.152110811
269	0.1517404207
270	0.1513707561
271	0.1508786548
272	0.1505982195
273	0.1501808969
274	0.1499717056
275	0.1494925985
276	0.149173689
277	0.1488991383
278	0.1486530219
279	0.1482426184
280	0.1479002918
281	0.1476562241
282	0.1469728031
283	0.1465918663
284	0.1462287094
285	0.1453898205
286	0.1448577508
287	0.1441875465
288	0.1439387551
289	0.1435809781
290	0.1432215542
291	0.1428190178
292	0.1425781875
293	0.1422128436
294	0.1417220844
295	0.1414398048
296	0.1410560285
297	0.1406511284
298	0.1402200779
299	0.1395222777
300	0.1392793739
301	0.1389680335
302	0.1385101459
303	0.1380818104
304	0.1376167235
305	0.1371556434
306	0.1368219138
307	0.136484069
308	0.1360837353
309	0.1358679181
310	0.1355638675
311	0.1353031759
312	0.1349102929
313	0.1344371112
314	0.1341392572
315	0.1337558114
316	0.1333651236
317	0.1330515419
318	0.1327106547
319	0.1323064891
320	0.1320922685
321	0.1317187683
322	0.1314397029
323	0.1311995737
324	0.1309148729
325	0.1306725647
326	0.1302579373
327	0.1298117239
328	0.1295192244
329	0.1292533263
330	0.1289603897
331	0.1286286134
332	0.1283994005
333	0.127980314
334	0.1277687009
335	0.1273011831
336	0.1270417801
337	0.1266833206
338	0.1263940095
339	0.12601112
340	0.1257200169
341	0.1254151404
342	0.125164648
343	0.1249072471
344	0.1245374596
345	0.1241998037
346	0.1238174333
347	0.1235241926
348	0.123174051
349	0.1230251585
350	0.1227927763
351	0.1223532421
352	0.1219022495
353	0.1215906029
354	0.121343751
355	0.1211273399
356	0.1208410898
357	0.1205276479
358	0.120393687
359	0.1200120035
360	0.1196366225
361	0.1193366052
362	0.1192447495
363	0.1190440434
364	0.1188451853
365	0.1185893776
366	0.1184110307
367	0.1180106319
368	0.1177497695
369	0.1175286298
370	0.1167575722
371	0.1163234818
372	0.1161803196
373	0.1158309464
374	0.1155880261
375	0.115369282
376	0.115126995
377	0.1149917047
378	0.1147198634
379	0.1144445814
380	0.114099969
381	0.1139695244
382	0.113645526
383	0.1134114569
384	0.1131313878
385	0.1127800922
386	0.1123882876
387	0.1122140201
388	0.1119685562
389	0.1117579305
390	0.1115571905
391	0.1113444287
392	0.1111824277
393	0.111010885
394	0.1107676946
395	0.1105288222
396	0.1102724928
397	0.1101439522
398	0.1098775018
399	0.1096629125
400	0.1094081803
401	0.1091073456
402	0.1089927691
403	0.1088315782
404	0.1085466331
405	0.1083549629
406	0.1081061427
407	0.1079543719
408	0.1077828668
409	0.1075935659
410	0.107398396
411	0.1072611072
412	0.1070574576
413	0.1068567874
414	0.1066370753
415	0.1064925369
416	0.1062080954
417	0.106028246
418	0.1057832146
419	0.1055652802
420	0.1051252169
421	0.1048068384
422	0.1046739794
423	0.1043872127
424	0.1041331011
425	0.1039951855
426	0.1037251057
427	0.1034504061
428	0.103299322
429	0.1029641237
430	0.1027415659
431	0.1026194417
432	0.1024419073
433	0.1020293998
434	0.1017715805
435	0.1015611465
436	0.1014172328
437	0.1010813408
438	0.1009703796
439	0.100760505
440	0.1004793991
441	0.1001095074
442	0.09989788985
443	0.09969249898
444	0.09948261798
445	0.09923380366
446	0.09898696559
447	0.09874336922
448	0.09856375286
449	0.09835241812
450	0.09815211416
451	0.09783307767
452	0.09758109648
453	0.09743901884
454	0.09713053705
455	0.09699511651
456	0.09685911065
457	0.09653920776
458	0.0963085139
459	0.09616907572
460	0.09600162431
461	0.09580317779
462	0.09557618418
463	0.09530714171
464	0.09514501226
465	0.09495423377
466	0.09476689067
467	0.09457978227
468	0.09449096577
469	0.09433110402
470	0.09406617986
471	0.09383535197
472	0.09374338357
473	0.09356281472
474	0.09338684319
475	0.09318141816
476	0.09302086408
477	0.09283199578
478	0.09254892966
479	0.09226406119
480	0.09213816246
481	0.09184275108
482	0.09165541923
483	0.09151521428
484	0.09126881955
485	0.09110448902
486	0.09091800339
487	0.09077722736
488	0.09064168743
489	0.09047757923
490	0.090303526
491	0.09014054259
492	0.08993005133
493	0.08979010503
494	0.08960765188
495	0.08946733359
496	0.08934803343
497	0.08902232312
498	0.08883149524
499	0.08857315059
